source,memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
generator,64,3004,1000000,4.13610053062439,HLL,RandomHashFamily,0.1856165903257925,2446.4077626613193,1
generator,256,3004,1000000,4.386752367019653,HLL,SHA-256,0.08100291662673773,2760.66723845328,1
generator,256,3004,1000000,2.963374614715576,HLL,xxHash32,0.005831396756650081,3021.517515856977,1
generator,256,3004,1000000,2.3978517055511475,HLL,Python Hash,0.027475900423969784,3086.5376048736052,1
generator,256,3004,1000000,3.9516799449920654,HLL,RandomHashFamily,0.008796915284236604,2977.5740664861532,1
generator,512,3004,1000000,4.332242250442505,HLL,SHA-256,0.04791688247759019,2860.057685037319,1
generator,512,3004,1000000,3.2526984214782715,HLL,xxHash32,0.0272635003829798,2922.1004448495287,1
generator,512,3004,1000000,2.43216609954834,HLL,Python Hash,0.00888340350584028,3030.685744131544,1
generator,512,3004,1000000,4.246925592422485,HLL,RandomHashFamily,0.02004840797131618,3064.225417545834,1
generator,16,1957,2000000,8.747964859008789,HLL,SHA-256,0.2977630068876163,1374.277795520935,1
generator,16,1957,2000000,5.977898836135864,HLL,xxHash32,0.014757661302707606,1928.1192568306012,1
generator,16,1957,2000000,4.706112861633301,HLL,Python Hash,0.030648666765567163,1897.020559139785,1
generator,16,1957,2000000,8.036399364471436,HLL,RandomHashFamily,0.04219276289944804,2039.5712369942198,1
generator,64,1957,2000000,8.797167301177979,HLL,SHA-256,0.06911639971462408,1821.7392057584807,1
generator,64,1957,2000000,5.988109111785889,HLL,xxHash32,0.09438323155624082,2141.7079841555633,1
generator,64,1957,2000000,4.756105422973633,HLL,Python Hash,0.08073132666918303,1799.0087937084088,1
generator,64,1957,2000000,8.077711343765259,HLL,RandomHashFamily,0.13103916413534836,2213.4436442128767,1
generator,256,1957,2000000,8.790030241012573,HLL,SHA-256,0.021981252588960925,1913.9826886834035,1
generator,256,1957,2000000,6.130982875823975,HLL,xxHash32,0.009877157484779334,1937.6704028022868,1
generator,256,1957,2000000,4.886984825134277,HLL,Python Hash,0.01024530953734004,1977.0500707645745,1
generator,256,1957,2000000,8.045074224472046,HLL,RandomHashFamily,0.023038496107489547,1911.913663117643,1
generator,512,1957,2000000,8.763149499893188,HLL,SHA-256,0.0035982398607139567,1964.0417554074172,1
