memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
512,17236,100000,0.18623852729797363,REC,xxHash32,0.09863077280111394,15536.0,1
512,17236,100000,0.16199946403503418,REC,Python Hash,0.8957414713390578,32675.0,1
512,17236,100000,1.1423709392547607,REC,RandomHashFamily,4.948073799025296,102521.0,1
1024,17236,100000,0.6298401355743408,REC,SHA-256,0.04130888837317243,17948.0,1
1024,17236,100000,0.4749104976654053,REC,xxHash32,0.020828498491529356,16877.0,1
1024,17236,100000,0.46797990798950195,REC,Python Hash,0.7708865165931771,30523.0,1
1024,17236,100000,1.411435842514038,REC,RandomHashFamily,5.213796704571826,107101.0,1
2048,17236,100000,1.582575798034668,REC,SHA-256,0.05169412856811325,18127.0,1
2048,17236,100000,1.400223731994629,REC,xxHash32,0.02825481550243676,16749.0,1
2048,17236,100000,1.507840871810913,REC,Python Hash,0.48015780923648177,25512.0,1
2048,17236,100000,2.532902479171753,REC,RandomHashFamily,4.728011139475516,98728.0,1
16,1000,100000,0.19322657585144043,REC,SHA-256,0.178,822.0,1
16,1000,100000,0.06959319114685059,REC,xxHash32,0.702,1702.0,1
16,1000,100000,0.02599358558654785,REC,Python Hash,1.306,2306.0,1
16,1000,100000,1.096095085144043,REC,RandomHashFamily,36.515,37515.0,1
32,1000,100000,0.1990666389465332,REC,SHA-256,0.1,1100.0,1
32,1000,100000,0.0689992904663086,REC,xxHash32,0.003,1003.0,1
32,1000,100000,0.026838064193725586,REC,Python Hash,0.497,1497.0,1
32,1000,100000,1.0827810764312744,REC,RandomHashFamily,100.508,101508.0,1
64,1000,100000,0.19182753562927246,REC,SHA-256,0.025,1025.0,1
64,1000,100000,0.06842517852783203,REC,xxHash32,0.179,1179.0,1
64,1000,100000,0.029001712799072266,REC,Python Hash,1.407,2407.0,1
64,1000,100000,1.0147879123687744,REC,RandomHashFamily,67.579,68579.0,1
128,1000,100000,0.1960916519165039,REC,SHA-256,0.095,1095.0,1
128,1000,100000,0.07217955589294434,REC,xxHash32,0.061,1061.0,1
128,1000,100000,0.032004356384277344,REC,Python Hash,1.074,2074.0,1
128,1000,100000,1.0127060413360596,REC,RandomHashFamily,117.745,118745.0,1
256,1000,100000,0.20831632614135742,REC,SHA-256,0.082,1082.0,1
256,1000,100000,0.08180570602416992,REC,xxHash32,0.012,1012.0,1
256,1000,100000,0.04500126838684082,REC,Python Hash,0.681,1681.0,1
256,1000,100000,1.0438578128814697,REC,RandomHashFamily,96.791,97791.0,1
512,1000,100000,0.23033523559570312,REC,SHA-256,0.01,1010.0,1
512,1000,100000,0.10088157653808594,REC,xxHash32,0.016,1016.0,1
512,1000,100000,0.06587028503417969,REC,Python Hash,0.214,1214.0,1
512,1000,100000,1.116394281387329,REC,RandomHashFamily,99.54,100540.0,1
1024,1000,100000,0.23885750770568848,REC,SHA-256,0.0,1000.0,1
1024,1000,100000,0.11872363090515137,REC,xxHash32,0.0,1000.0,1
1024,1000,100000,0.07796883583068848,REC,Python Hash,0.0,1000.0,1
1024,1000,100000,1.3946404457092285,REC,RandomHashFamily,98.833,99833.0,1
2048,1000,100000,0.24256086349487305,REC,SHA-256,0.227,1227.0,1
2048,1000,100000,0.11107778549194336,REC,xxHash32,0.227,1227.0,1
2048,1000,100000,0.07808566093444824,REC,Python Hash,0.227,1227.0,1
2048,1000,100000,2.360934019088745,REC,RandomHashFamily,96.103,97103.0,1
16,4580,500000,0.9366271495819092,REC,SHA-256,0.4316593886462882,2603.0,1
16,4580,500000,0.32055068016052246,REC,xxHash32,0.07663755458515284,4229.0,1
16,4580,500000,0.12082934379577637,REC,Python Hash,7.703056768558952,39860.0,1
16,4580,500000,4.9981529712677,REC,RandomHashFamily,43.72663755458515,204848.0,1
32,4580,500000,0.9293942451477051,REC,SHA-256,0.2017467248908297,3656.0,1
32,4580,500000,0.31494975090026855,REC,xxHash32,0.4812227074235808,2376.0,1
32,4580,500000,0.12221741676330566,REC,Python Hash,6.784934497816594,35655.0,1
32,4580,500000,5.0168137550354,REC,RandomHashFamily,79.71004366812227,369652.0,1
64,4580,500000,0.93398118019104,REC,SHA-256,0.024017467248908297,4690.0,1
64,4580,500000,0.31955981254577637,REC,xxHash32,0.34694323144104805,2991.0,1
64,4580,500000,0.12329626083374023,REC,Python Hash,8.40414847161572,43071.0,1
