source,memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
dracula,16,9425,124249,0.2301948070526123,REC,SHA-256,0.11427055702917774,10502.0,10
dracula,16,9425,124249,0.07097253799438477,REC,xxHash32,0.31405835543766575,6465.0,10
dracula,16,9425,124249,0.0336918830871582,REC,Python Hash,0.3543766578249336,6085.0,10
dracula,32,9425,124249,0.22959020137786865,REC,SHA-256,0.1392042440318302,10737.0,10
dracula,32,9425,124249,0.07183802127838135,REC,xxHash32,0.08159151193633953,8656.0,10
dracula,32,9425,124249,0.03442249298095703,REC,Python Hash,0.038726790450928375,9790.0,10
dracula,64,9425,124249,0.23093361854553224,REC,SHA-256,0.13029177718832893,8197.0,10
dracula,64,9425,124249,0.07328128814697266,REC,xxHash32,0.2618567639257295,11893.0,10
dracula,64,9425,124249,0.035808897018432616,REC,Python Hash,0.07469496021220158,8721.0,10
dracula,128,9425,124249,0.24631719589233397,REC,SHA-256,0.034058355437665784,9104.0,10
dracula,128,9425,124249,0.08027768135070801,REC,xxHash32,0.28827586206896555,12142.0,10
dracula,128,9425,124249,0.04223911762237549,REC,Python Hash,0.12700265251989393,8228.0,10
dracula,256,9425,124249,0.26501777172088625,REC,SHA-256,0.04806366047745358,9878.0,10
dracula,256,9425,124249,0.10434126853942871,REC,xxHash32,0.1919363395225464,11234.0,10
dracula,256,9425,124249,0.06544601917266846,REC,Python Hash,0.07702917771883289,10151.0,10
dracula,512,9425,124249,0.339917516708374,REC,SHA-256,0.038090185676392566,9066.0,10
dracula,512,9425,124249,0.18439188003540039,REC,xxHash32,0.15108753315649867,10849.0,10
dracula,512,9425,124249,0.13573005199432372,REC,Python Hash,0.019946949602122014,9613.0,10
dracula,1024,9425,124249,0.5559500455856323,REC,SHA-256,0.029071618037135278,9151.0,10
dracula,1024,9425,124249,0.3954767227172852,REC,xxHash32,0.03458885941644562,9751.0,10
dracula,1024,9425,124249,0.354420804977417,REC,Python Hash,0.026525198938992044,9675.0,10
dracula,2048,9425,124249,1.1727848291397094,REC,SHA-256,0.035649867374005315,9089.0,10
dracula,2048,9425,124249,1.0553527355194092,REC,xxHash32,0.013050397877984083,9548.0,10
dracula,2048,9425,124249,1.0075763463974,REC,Python Hash,0.01559681697612732,9572.0,10
iliad,16,8925,124944,0.22861413955688475,REC,SHA-256,0.3583193277310924,5727.0,10
iliad,16,8925,124944,0.0711975336074829,REC,xxHash32,0.49658263305322137,4493.0,10
iliad,16,8925,124944,0.03387570381164551,REC,Python Hash,0.49658263305322137,4493.0,10
iliad,32,8925,124944,0.23060088157653807,REC,SHA-256,0.2181512605042017,6978.0,10
iliad,32,8925,124944,0.07246499061584473,REC,xxHash32,0.168515406162465,7421.0,10
iliad,32,8925,124944,0.03362114429473877,REC,Python Hash,0.4072829131652661,5290.0,10
iliad,64,8925,124944,0.23730454444885254,REC,SHA-256,0.20123249299719886,7129.0,10
iliad,64,8925,124944,0.07661595344543456,REC,xxHash32,0.2944537815126051,6297.0,10
iliad,64,8925,124944,0.036496639251708984,REC,Python Hash,0.3368067226890757,5919.0,10
iliad,128,8925,124944,0.24260468482971193,REC,SHA-256,0.1919327731092437,10638.0,10
iliad,128,8925,124944,0.08199102878570556,REC,xxHash32,0.1269467787114846,7792.0,10
iliad,128,8925,124944,0.04275867938995361,REC,Python Hash,0.19238095238095235,7208.0,10
iliad,256,8925,124944,0.2602289915084839,REC,SHA-256,0.11977591036414566,9994.0,10
iliad,256,8925,124944,0.10150561332702637,REC,xxHash32,0.03977591036414565,9280.0,10
iliad,256,8925,124944,0.06348888874053955,REC,Python Hash,0.12414565826330534,7817.0,10
iliad,512,8925,124944,0.34032573699951174,REC,SHA-256,0.14644257703081234,10232.0,10
iliad,512,8925,124944,0.17346482276916503,REC,xxHash32,0.03988795518207283,9281.0,10
iliad,512,8925,124944,0.13283345699310303,REC,Python Hash,0.12425770308123249,7816.0,10
iliad,1024,8925,124944,0.5626219987869263,REC,SHA-256,0.023305322128851537,9133.0,10
iliad,1024,8925,124944,0.3870821952819824,REC,xxHash32,0.01008403361344538,8835.0,10
iliad,1024,8925,124944,0.35099780559539795,REC,Python Hash,0.010980392156862747,8827.0,10
iliad,2048,8925,124944,1.2460932970046996,REC,SHA-256,0.0032492997198879546,8896.0,10
iliad,2048,8925,124944,1.014809775352478,REC,xxHash32,0.0007843137254901959,8918.0,10
iliad,2048,8925,124944,0.993190860748291,REC,Python Hash,0.008627450980392155,8848.0,10
mare-balena,16,5670,18474,0.034591960906982425,REC,SHA-256,0.6405643738977072,9302.0,10
mare-balena,16,5670,18474,0.010896873474121094,REC,xxHash32,0.2075837742504409,4493.0,10
mare-balena,16,5670,18474,0.005086755752563477,REC,Python Hash,0.15802469135802472,4774.0,10
mare-balena,32,5670,18474,0.033709478378295896,REC,SHA-256,0.39206349206349206,7893.0,10
mare-balena,32,5670,18474,0.011316871643066407,REC,xxHash32,0.33509700176366847,3770.0,10
mare-balena,32,5670,18474,0.005500221252441406,REC,Python Hash,0.27072310405643746,4135.0,10
mare-balena,64,5670,18474,0.03687937259674072,REC,SHA-256,0.17283950617283947,4690.0,10
mare-balena,64,5670,18474,0.012695717811584472,REC,xxHash32,0.30246913580246915,3955.0,10
mare-balena,64,5670,18474,0.007249259948730468,REC,Python Hash,0.21040564373897702,4477.0,10
mare-balena,128,5670,18474,0.04145045280456543,REC,SHA-256,0.07601410934744268,5239.0,10
mare-balena,128,5670,18474,0.018117809295654298,REC,xxHash32,0.0687830687830688,5280.0,10
mare-balena,128,5670,18474,0.012886381149291993,REC,Python Hash,0.0065255731922398575,5707.0,10
mare-balena,256,5670,18474,0.05989639759063721,REC,SHA-256,0.005291005291005291,5700.0,10
mare-balena,256,5670,18474,0.0367851734161377,REC,xxHash32,0.014109347442680775,5590.0,10
mare-balena,256,5670,18474,0.031056594848632813,REC,Python Hash,0.03721340388007054,5881.0,10
mare-balena,512,5670,18474,0.11606414318084717,REC,SHA-256,0.008818342151675485,5620.0,10
mare-balena,512,5670,18474,0.0910947561264038,REC,xxHash32,0.035449735449735446,5469.0,10
mare-balena,512,5670,18474,0.08533589839935303,REC,Python Hash,0.035449735449735446,5469.0,10
mare-balena,1024,5670,18474,0.27740514278411865,REC,SHA-256,0.0065255731922398575,5633.0,10
mare-balena,1024,5670,18474,0.25745744705200196,REC,xxHash32,0.02098765432098765,5789.0,10
mare-balena,1024,5670,18474,0.2504063367843628,REC,Python Hash,0.004585537918871251,5644.0,10
mare-balena,2048,5670,18474,0.6737631320953369,REC,SHA-256,0.017283950617283945,5572.0,10
mare-balena,2048,5670,18474,0.6662467956542969,REC,xxHash32,0.001234567901234568,5677.0,10
mare-balena,2048,5670,18474,0.6698976516723633,REC,Python Hash,0.0031746031746031746,5652.0,10
midsummer-nights-dream,16,3136,13609,0.024387526512145995,REC,SHA-256,0.05803571428571429,3318.0,10
midsummer-nights-dream,16,3136,13609,0.0079484224319458,REC,xxHash32,0.19451530612244897,3746.0,10
midsummer-nights-dream,16,3136,13609,0.003861689567565918,REC,Python Hash,0.05803571428571429,3318.0,10
midsummer-nights-dream,32,3136,13609,0.024887633323669434,REC,SHA-256,0.11639030612244897,2771.0,10
midsummer-nights-dream,32,3136,13609,0.00849759578704834,REC,xxHash32,0.09630102040816325,3438.0,10
midsummer-nights-dream,32,3136,13609,0.004343223571777344,REC,Python Hash,0.16581632653061226,3656.0,10
midsummer-nights-dream,64,3136,13609,0.026449942588806154,REC,SHA-256,0.016262755102040814,3085.0,10
midsummer-nights-dream,64,3136,13609,0.009905624389648437,REC,xxHash32,0.07525510204081633,2900.0,10
midsummer-nights-dream,64,3136,13609,0.0058031797409057615,REC,Python Hash,0.24426020408163268,2370.0,10
midsummer-nights-dream,128,3136,13609,0.031220769882202147,REC,SHA-256,0.014987244897959186,3183.0,10
midsummer-nights-dream,128,3136,13609,0.01436471939086914,REC,xxHash32,0.03093112244897959,3233.0,10
