memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
16,17236,100000,0.24807977676391602,HLL,Python Hash,1.0141006494994924,34715.03879477325,1
16,17236,100000,0.422931432723999,HLL,RandomHashFamily,0.43974996977958225,24815.53047912088,1
64,17236,100000,0.45266103744506836,HLL,SHA-256,0.0055792560708336145,17139.835942363112,1
64,17236,100000,0.31053876876831055,HLL,xxHash32,0.09154289646001021,18813.833363384736,1
64,17236,100000,0.25115323066711426,HLL,Python Hash,0.14434261114485203,19723.88924569267,1
64,17236,100000,0.4233286380767822,HLL,RandomHashFamily,0.11688139792539952,19250.567774642186,1
256,17236,100000,0.45191001892089844,HLL,SHA-256,0.02250433593930617,16848.11526575012,1
256,17236,100000,0.31412625312805176,HLL,xxHash32,0.008766181618286257,17387.093906372782,1
256,17236,100000,0.24953722953796387,HLL,Python Hash,0.019957209514801608,17579.98246319712,1
256,17236,100000,0.4140176773071289,HLL,RandomHashFamily,0.10288973504132964,15462.592526827642,1
512,17236,100000,0.4954061508178711,HLL,SHA-256,0.023009814041424638,16839.402845182005,1
512,17236,100000,0.353651762008667,HLL,xxHash32,0.0029641714851656054,17184.909540281686,1
512,17236,100000,0.2541053295135498,HLL,Python Hash,0.005209057732380161,17325.783319075304,1
512,17236,100000,0.4155244827270508,HLL,RandomHashFamily,0.029566591272661643,17745.609767175596,1
16,1000,100000,0.44943857192993164,HLL,SHA-256,0.32340206327900284,676.5979367209972,1
16,1000,100000,0.3106694221496582,HLL,xxHash32,0.09071352086553339,1090.7135208655334,1
16,1000,100000,0.24548697471618652,HLL,Python Hash,0.10445222335025381,895.5477766497462,1
16,1000,100000,0.4268321990966797,HLL,RandomHashFamily,0.4580405950413224,1458.0405950413224,1
64,1000,100000,0.45870161056518555,HLL,SHA-256,0.16249763120467514,837.5023687953249,1
64,1000,100000,0.30442237854003906,HLL,xxHash32,0.02907225054070409,1029.072250540704,1
64,1000,100000,0.24435901641845703,HLL,Python Hash,0.060164540463458024,1060.164540463458,1
64,1000,100000,0.40645790100097656,HLL,RandomHashFamily,0.029339403253721003,1029.339403253721,1
256,1000,100000,0.44779348373413086,HLL,SHA-256,0.09364487967788261,906.3551203221174,1
256,1000,100000,0.30184388160705566,HLL,xxHash32,0.03242403008343229,967.5759699165677,1
256,1000,100000,0.2477867603302002,HLL,Python Hash,0.03374418870898126,1033.7441887089813,1
256,1000,100000,0.407135009765625,HLL,RandomHashFamily,0.10964577804328064,1109.6457780432806,1
512,1000,100000,0.4472999572753906,HLL,SHA-256,0.00965911970030686,990.3408802996931,1
512,1000,100000,0.31208205223083496,HLL,xxHash32,0.023313262206373565,976.6867377936264,1
512,1000,100000,0.24374771118164062,HLL,Python Hash,0.056735925833661896,1056.735925833662,1
512,1000,100000,0.4099299907684326,HLL,RandomHashFamily,0.47467273365733625,1474.6727336573363,1
16,4580,500000,2.232149839401245,HLL,SHA-256,0.15200856711423102,5276.199237383178,1
16,4580,500000,1.6404297351837158,HLL,xxHash32,0.19749403202328958,3675.4773333333337,1
16,4580,500000,1.2556533813476562,HLL,Python Hash,0.12879960330790027,5169.902183150183,1
16,4580,500000,2.1030054092407227,HLL,RandomHashFamily,0.45188358870698137,6649.626836277975,1
64,4580,500000,2.3149209022521973,HLL,SHA-256,0.010129910562526115,4533.60500962363,1
64,4580,500000,1.5411243438720703,HLL,xxHash32,0.19136314089980366,5456.443185321101,1
64,4580,500000,1.2642295360565186,HLL,Python Hash,0.13036274998775424,3982.9386050560856,1
64,4580,500000,2.200996160507202,HLL,RandomHashFamily,0.13377081725620882,3967.3296569665636,1
256,4580,500000,2.3127784729003906,HLL,SHA-256,0.028598356803186266,4710.980474158593,1
256,4580,500000,1.5226531028747559,HLL,xxHash32,0.08556514692242402,4971.888372904702,1
256,4580,500000,1.2119722366333008,HLL,Python Hash,0.029066586767263432,4446.8750326059335,1
256,4580,500000,2.02824068069458,HLL,RandomHashFamily,0.1074179469193301,5071.974196890532,1
512,4580,500000,2.2465550899505615,HLL,SHA-256,0.06125012209138683,4860.525559178552,1
512,4580,500000,1.544037103652954,HLL,xxHash32,0.03635120557260866,4746.488521522548,1
512,4580,500000,1.2566437721252441,HLL,Python Hash,0.02108976200613905,4483.408890011883,1
512,4580,500000,2.1531553268432617,HLL,RandomHashFamily,0.06203450321099173,4864.118024706342,1
16,3004,1000000,4.3381617069244385,HLL,SHA-256,0.08145717993473671,2759.302631476051,1
16,3004,1000000,2.954942464828491,HLL,xxHash32,0.5429709440505163,4635.084715927751,1
16,3004,1000000,2.371005058288574,HLL,Python Hash,0.3347575354073357,4009.6116363636365,1
16,3004,1000000,4.058807611465454,HLL,RandomHashFamily,0.012952410791213823,2965.0909579831937,1
64,3004,1000000,4.481198787689209,HLL,SHA-256,0.1258379085626325,2625.982922677852,1
64,3004,1000000,3.1424622535705566,HLL,xxHash32,0.14434960875324473,3437.626224694747,1
64,3004,1000000,2.463472843170166,HLL,Python Hash,0.07309556795683171,2784.4209138576775,1
64,3004,1000000,4.13610053062439,HLL,RandomHashFamily,0.1856165903257925,2446.4077626613193,1
256,3004,1000000,4.386752367019653,HLL,SHA-256,0.08100291662673773,2760.66723845328,1
256,3004,1000000,2.963374614715576,HLL,xxHash32,0.005831396756650081,3021.517515856977,1
256,3004,1000000,2.3978517055511475,HLL,Python Hash,0.027475900423969784,3086.5376048736052,1
256,3004,1000000,3.9516799449920654,HLL,RandomHashFamily,0.008796915284236604,2977.5740664861532,1
512,3004,1000000,4.332242250442505,HLL,SHA-256,0.04791688247759019,2860.057685037319,1
512,3004,1000000,3.2526984214782715,HLL,xxHash32,0.0272635003829798,2922.1004448495287,1
512,3004,1000000,2.43216609954834,HLL,Python Hash,0.00888340350584028,3030.685744131544,1
512,3004,1000000,4.246925592422485,HLL,RandomHashFamily,0.02004840797131618,3064.225417545834,1
16,1957,2000000,8.747964859008789,HLL,SHA-256,0.2977630068876163,1374.277795520935,1
16,1957,2000000,5.977898836135864,HLL,xxHash32,0.014757661302707606,1928.1192568306012,1
16,1957,2000000,4.706112861633301,HLL,Python Hash,0.030648666765567163,1897.020559139785,1
16,1957,2000000,8.036399364471436,HLL,RandomHashFamily,0.04219276289944804,2039.5712369942198,1
64,1957,2000000,8.797167301177979,HLL,SHA-256,0.06911639971462408,1821.7392057584807,1
64,1957,2000000,5.988109111785889,HLL,xxHash32,0.09438323155624082,2141.7079841555633,1
64,1957,2000000,4.756105422973633,HLL,Python Hash,0.08073132666918303,1799.0087937084088,1
64,1957,2000000,8.077711343765259,HLL,RandomHashFamily,0.13103916413534836,2213.4436442128767,1
256,1957,2000000,8.790030241012573,HLL,SHA-256,0.021981252588960925,1913.9826886834035,1
256,1957,2000000,6.130982875823975,HLL,xxHash32,0.009877157484779334,1937.6704028022868,1
256,1957,2000000,4.886984825134277,HLL,Python Hash,0.01024530953734004,1977.0500707645745,1
256,1957,2000000,8.045074224472046,HLL,RandomHashFamily,0.023038496107489547,1911.913663117643,1
512,1957,2000000,8.763149499893188,HLL,SHA-256,0.0035982398607139567,1964.0417554074172,1
512,1957,2000000,6.0985331535339355,HLL,xxHash32,0.043964755017341546,2043.0390255689374,1
512,1957,2000000,4.964145660400391,HLL,Python Hash,0.012941107366214217,1982.3257471156812,1
512,1957,2000000,8.188163042068481,HLL,RandomHashFamily,0.07133761662154332,2096.6077157283603,1
16,187,20000,0.09596776962280273,HLL,SHA-256,0.22763569562207106,229.5678750813273,1
16,187,20000,0.059001922607421875,HLL,xxHash32,0.11038375098013999,166.35823856671382,1
16,187,20000,0.046903371810913086,HLL,Python Hash,0.09022369133504193,170.12816972034716,1
16,187,20000,0.07846975326538086,HLL,RandomHashFamily,0.01314013380171389,184.5427949790795,1
64,187,20000,0.0852203369140625,HLL,SHA-256,0.053946257543948696,197.0879501607184,1
64,187,20000,0.06246232986450195,HLL,xxHash32,0.028586921959307246,192.34575440639045,1
64,187,20000,0.04897046089172363,HLL,Python Hash,0.03876596165339807,194.24923482918544,1
64,187,20000,0.07798004150390625,HLL,RandomHashFamily,0.1790086081666571,220.47460972716488,1
256,187,20000,0.08398628234863281,HLL,SHA-256,0.0076291711664249065,185.57334499187854,1
256,187,20000,0.05987048149108887,HLL,xxHash32,0.0076291711664249065,185.57334499187854,1
256,187,20000,0.04811286926269531,HLL,Python Hash,0.04035544570391108,179.45353165336863,1
256,187,20000,0.07849884033203125,HLL,RandomHashFamily,0.19423125221668439,223.32124416451998,1
512,187,20000,0.08844256401062012,HLL,SHA-256,0.02037797335256976,183.18931898306946,1
512,187,20000,0.0630645751953125,HLL,xxHash32,0.002662565822540825,187.49789980881513,1
512,187,20000,0.05797123908996582,HLL,Python Hash,0.00503917741182684,186.05767382398838,1
512,187,20000,0.08702683448791504,HLL,RandomHashFamily,0.04933360348976071,196.22538385258525,1
