source,memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
iliad,64,8925,124944,0.501901388168335,HLL,RandomHashFamily,0.09040116316811221,8817.687750429004,10
iliad,256,8925,124944,0.5430331468582154,HLL,SHA-256,0.06939215954533062,9544.325023942076,10
iliad,256,8925,124944,0.3668659210205078,HLL,xxHash32,0.04506116982650254,8522.829059298467,10
iliad,256,8925,124944,0.286629843711853,HLL,Python Hash,0.08516621481261553,8164.891532797408,10
iliad,256,8925,124944,0.4949926853179932,HLL,RandomHashFamily,0.05794371674525407,8976.251292099352,10
iliad,512,8925,124944,0.5452903270721435,HLL,SHA-256,0.060648790900104096,9466.290458783431,10
iliad,512,8925,124944,0.3719133138656616,HLL,xxHash32,0.023232301343244218,8717.651710511547,10
iliad,512,8925,124944,0.3005914449691772,HLL,Python Hash,0.020134811144730508,8745.296810533282,10
iliad,512,8925,124944,0.5068146705627441,HLL,RandomHashFamily,0.03287142060170711,8930.719441144218,10
mare-balena,16,5670,18474,0.07950484752655029,HLL,SHA-256,0.035189084396319466,5470.477891472868,10
mare-balena,16,5670,18474,0.05599963665008545,HLL,xxHash32,0.2202020403223019,6918.545568627453,10
mare-balena,16,5670,18474,0.04259512424468994,HLL,Python Hash,0.0997424367965658,5104.460383363473,10
mare-balena,16,5670,18474,0.07159454822540283,HLL,RandomHashFamily,0.353720409263879,6442.7913584275275,10
mare-balena,64,5670,18474,0.07900824546813964,HLL,SHA-256,0.190940325431854,4587.368354801388,10
mare-balena,64,5670,18474,0.05279684066772461,HLL,xxHash32,0.08027380852482123,6125.152494335736,10
mare-balena,64,5670,18474,0.04188005924224854,HLL,Python Hash,0.09583375233048044,5126.622624286175,10
mare-balena,64,5670,18474,0.07170796394348145,HLL,RandomHashFamily,0.12281738442381848,5694.432660080305,10
mare-balena,256,5670,18474,0.07861618995666504,HLL,SHA-256,0.031181163148578765,5846.7971950524425,10
mare-balena,256,5670,18474,0.0525916576385498,HLL,xxHash32,0.007261598144722399,5628.826738519425,10
mare-balena,256,5670,18474,0.04202589988708496,HLL,Python Hash,0.08055992761474173,5213.2252104244135,10
mare-balena,256,5670,18474,0.07168550491333008,HLL,RandomHashFamily,0.05711800357563236,5500.04337089207,10
mare-balena,512,5670,18474,0.08001103401184081,HLL,SHA-256,0.04286060796530091,5913.019647163257,10
mare-balena,512,5670,18474,0.05419843196868897,HLL,xxHash32,0.025026853181518365,5528.097742460791,10
mare-balena,512,5670,18474,0.0430950403213501,HLL,Python Hash,0.025464260143136665,5525.617644988415,10
mare-balena,512,5670,18474,0.07233777046203613,HLL,RandomHashFamily,0.025176364578596316,5678.662676585661,10
midsummer-nights-dream,16,3136,13609,0.05889616012573242,HLL,SHA-256,0.357059358600583,2016.2618514285718,10
midsummer-nights-dream,16,3136,13609,0.03888623714447022,HLL,xxHash32,0.14680862752684012,2675.608144075829,10
midsummer-nights-dream,16,3136,13609,0.03114464282989502,HLL,Python Hash,0.046486336907644345,2990.218847457628,10
midsummer-nights-dream,16,3136,13609,0.05212697982788086,HLL,RandomHashFamily,0.2023368613193751,3028.4522934775086,10
midsummer-nights-dream,64,3136,13609,0.057667660713195804,HLL,SHA-256,0.10778714476444784,3474.0204859813084,10
midsummer-nights-dream,64,3136,13609,0.03826122283935547,HLL,xxHash32,0.06554201381374233,3341.5397553198954,10
midsummer-nights-dream,64,3136,13609,0.030643701553344727,HLL,Python Hash,0.1747033978082095,2588.1301444734554,10
midsummer-nights-dream,64,3136,13609,0.05221502780914307,HLL,RandomHashFamily,0.11437192866882535,3060.7102541455356,10
midsummer-nights-dream,256,3136,13609,0.05752360820770264,HLL,SHA-256,0.0540859750758355,3305.613617837821,10
midsummer-nights-dream,256,3136,13609,0.038555264472961426,HLL,xxHash32,0.01189894221459646,3173.3150827849745,10
midsummer-nights-dream,256,3136,13609,0.030686044692993165,HLL,Python Hash,0.05660825578126612,2958.4765098699495,10
midsummer-nights-dream,256,3136,13609,0.05169723033905029,HLL,RandomHashFamily,0.07106641195196768,3166.843503559993,10
midsummer-nights-dream,512,3136,13609,0.0583174467086792,HLL,SHA-256,0.023965835350108853,3211.1568596579414,10
midsummer-nights-dream,512,3136,13609,0.03951261043548584,HLL,xxHash32,0.015120594200918939,3088.5818165859177,10
midsummer-nights-dream,512,3136,13609,0.031189990043640137,HLL,Python Hash,0.06052020687369734,2946.2086312440847,10
midsummer-nights-dream,512,3136,13609,0.05250480175018311,HLL,RandomHashFamily,0.036642758200857974,3054.653772636724,10
quijote,16,23034,264853,1.1545846223831178,HLL,SHA-256,0.1548425889165341,19467.355806896554,10
quijote,16,23034,264853,0.7734911441802979,HLL,xxHash32,0.17822079056427456,18928.862310142496,10
quijote,16,23034,264853,0.6074032783508301,HLL,Python Hash,0.2727132070795101,16752.32398813056,10
quijote,16,23034,264853,1.0516984939575196,HLL,RandomHashFamily,0.23055817055145508,23261.57174587372,10
quijote,64,23034,264853,1.1219981908798218,HLL,SHA-256,0.11724354380629462,20333.412211965806,10
quijote,64,23034,264853,0.7617866039276123,HLL,xxHash32,0.08401968516456036,21098.690571919517,10
quijote,64,23034,264853,0.5991583824157715,HLL,Python Hash,0.13661437513342917,19887.224483176597,10
quijote,64,23034,264853,1.0331509828567504,HLL,RandomHashFamily,0.09887831867030848,22206.52751265188,10
quijote,256,23034,264853,1.1543368577957154,HLL,SHA-256,0.0646259791503713,21545.40519625035,10
quijote,256,23034,264853,0.7751657009124756,HLL,xxHash32,0.04833216349220522,21920.716946120545,10
quijote,256,23034,264853,0.639005446434021,HLL,Python Hash,0.03789639957090043,22161.094332283883,10
quijote,256,23034,264853,1.1490031957626343,HLL,RandomHashFamily,0.025367045949831673,22712.050774347827,10
quijote,512,23034,264853,1.1498064041137694,HLL,SHA-256,0.04951525099026575,21893.465708690223,10
quijote,512,23034,264853,0.7926762819290161,HLL,xxHash32,0.07719295960306073,21255.9373685031,10
quijote,512,23034,264853,0.6135166883468628,HLL,Python Hash,0.06246560165269174,24472.832668468098,10
quijote,512,23034,264853,1.0594249010086059,HLL,RandomHashFamily,0.024095011249105274,23113.09289217265,10
valley-fear,16,5829,47064,0.20240933895111085,HLL,SHA-256,0.009814528283995922,5771.791114632587,10
valley-fear,16,5829,47064,0.13338088989257812,HLL,xxHash32,0.015225539331463856,5917.749668763104,10
valley-fear,16,5829,47064,0.11235392093658447,HLL,Python Hash,0.11630915645783155,5151.033927007301,10
valley-fear,16,5829,47064,0.1840487003326416,HLL,RandomHashFamily,0.09029968025694177,6253.49713002219,10
valley-fear,64,5829,47064,0.20119907855987548,HLL,SHA-256,0.08415447015919052,6319.536406557921,10
valley-fear,64,5829,47064,0.14039690494537355,HLL,xxHash32,0.27283124364305783,7419.333319195384,10
valley-fear,64,5829,47064,0.10690977573394775,HLL,Python Hash,0.051348115080233056,6128.308162802678,10
valley-fear,64,5829,47064,0.18600866794586182,HLL,RandomHashFamily,0.09798803957169663,5763.708093041525,10
valley-fear,256,5829,47064,0.20376899242401122,HLL,SHA-256,0.07666818268091859,6275.898836847075,10
valley-fear,256,5829,47064,0.13553707599639891,HLL,xxHash32,0.12849796232877148,6578.01462241441,10
valley-fear,256,5829,47064,0.10737807750701904,HLL,Python Hash,0.024933718535903194,5974.33864534578,10
